datetime,temp,humidity,windspeed,solarenergy
2009-01-31,2.980645161290323,87.87096774193549,20.083870967741937,
2009-02-28,4.3,85.05714285714285,17.175,
2009-03-31,7.241935483870968,76.52258064516128,23.138709677419353,
2009-04-30,10.633333333333333,77.07333333333332,19.123333333333335,
2009-05-31,13.093548387096773,73.35161290322581,24.34193548387097,
2009-06-30,16.003333333333334,69.94333333333334,18.793333333333333,
2009-07-31,16.79032258064516,76.27741935483871,24.154838709677417,
2009-08-31,17.56451612903226,76.2290322580645,21.135483870967743,
2009-09-30,14.936666666666667,76.50333333333333,19.736666666666668,
2009-10-31,11.806451612903226,83.04516129032258,18.30322580645161,
2009-11-30,9.336666666666668,85.74666666666667,28.626666666666665,
2009-12-31,3.832258064516129,90.11612903225806,19.625806451612902,
2010-01-31,2.519354838709677,84.8258064516129,17.687096774193545,3.096774193548387
2010-02-28,4.5,82.62142857142858,20.603571428571428,5.285714285714286
2010-03-31,7.6,73.61612903225806,21.958064516129035,10.825806451612904
2010-04-30,10.806666666666667,64.29666666666667,19.526666666666664,18.89333333333333
2010-05-31,12.425806451612903,66.66774193548386,18.461290322580645,21.532258064516128
2010-06-30,17.386666666666667,66.42,18.043333333333333,25.34333333333333
2010-07-31,19.783870967741933,64.39354838709677,21.10967741935484,23.45483870967742
2010-08-31,17.148387096774194,74.70322580645161,21.103225806451615,18.129032258064516
2010-09-30,15.093333333333334,78.44333333333334,19.426666666666666,13.253333333333334
2010-10-31,11.86774193548387,81.7741935483871,19.548387096774192,8.241935483870968
2010-11-30,7.046666666666667,83.81666666666666,19.866666666666667,3.7333333333333334
2010-12-31,2.148387096774193,85.08709677419354,16.68064516129032,2.3483870967741933
2011-01-31,5.741935483870968,83.1032258064516,20.570967741935487,3.2516129032258063
2011-02-28,7.735714285714286,84.86785714285715,22.285714285714285,4.860714285714286
2011-03-31,8.04516129032258,75.85161290322581,18.212903225806453,11.432258064516128
2011-04-30,13.926666666666668,65.03333333333333,19.753333333333334,18.813333333333333
2011-05-31,14.316129032258065,63.9741935483871,24.596774193548388,22.94516129032258
2011-06-30,15.91,71.77,21.946666666666665,22.753333333333334
2011-07-31,16.95483870967742,68.44193548387096,18.14516129032258,22.9741935483871
2011-08-31,17.183870967741935,72.90967741935484,19.761290322580646,18.825806451612905
2011-09-30,16.403333333333332,78.58999999999999,21.87,14.556666666666667
2011-10-31,13.951612903225806,77.76451612903226,22.083870967741937,9.30967741935484
2011-11-30,10.893333333333334,87.76666666666667,19.31,4.55
2011-12-31,7.290322580645161,81.85483870967742,26.593548387096774,2.351612903225807
2012-01-31,7.112903225806452,80.70645161290322,23.325806451612905,3.4612903225806453
2012-02-29,5.279310344827586,77.38620689655171,18.67241379310345,6.493103448275862
2012-03-31,9.816129032258065,73.9,17.52258064516129,11.696774193548386
2012-04-30,8.916666666666666,75.32333333333332,22.326666666666664,14.923333333333334
2012-05-31,13.864516129032259,73.64193548387097,19.81935483870968,21.074193548387097
2012-06-30,15.246666666666668,75.39333333333335,24.646666666666665,22.543333333333333
2012-07-31,17.129032258064516,74.78064516129032,19.690322580645162,21.919354838709676
2012-08-31,18.693548387096776,73.0,21.161290322580644,19.229032258064517
2012-09-30,14.93,72.58666666666666,20.25,13.776666666666667
2012-10-31,11.229032258064517,84.8258064516129,19.961290322580645,7.316129032258065
2012-11-30,8.113333333333333,85.93666666666667,21.93,4.043333333333333
2012-12-31,6.267741935483872,86.1774193548387,23.432258064516127,2.3
2013-01-31,4.84516129032258,85.23548387096774,21.335483870967742,3.0677419354838706
2013-02-28,4.1571428571428575,76.03928571428571,20.732142857142858,6.610714285714286
2013-03-31,4.219354838709678,75.09354838709677,20.496774193548386,9.47741935483871
2013-04-30,9.0,68.77333333333333,24.55,16.736666666666668
2013-05-31,11.996774193548386,69.34516129032258,0.7903225806451613,20.02258064516129
2013-06-30,15.456666666666667,69.58333333333333,2.5266666666666664,22.64
2013-07-31,20.44193548387097,65.41290322580645,0.13225806451612904,24.16774193548387
2013-08-31,18.76451612903226,68.50645161290322,0.3,19.98709677419355
2013-09-30,15.096666666666666,75.44666666666667,0.4733333333333334,13.546666666666665
2013-10-31,13.567741935483872,80.38709677419355,0.16129032258064516,7.870967741935484
2013-11-30,7.886666666666667,79.21000000000001,0.5933333333333334,3.9
2013-12-31,7.461290322580646,81.64193548387097,0.45161290322580644,2.4709677419354836
2014-01-31,7.296774193548386,82.48709677419355,0.9838709677419355,2.9612903225806453
2014-02-28,7.675,75.59642857142856,0.21428571428571427,6.053571428571429
2014-03-31,9.441935483870967,70.96129032258065,0.7258064516129031,11.85483870967742
2014-04-30,12.056666666666667,70.74333333333334,0.12333333333333334,17.470000000000002
2014-05-31,13.83548387096774,70.37741935483871,1.7193548387096775,21.648387096774194
2014-06-30,17.066666666666666,66.37,0.53,24.346666666666668
2014-07-31,20.029032258064515,65.76451612903226,1.3580645161290323,23.822580645161292
